IDCustomer,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,PreferredPaymentMethod
C00700,Ms.,alexis,Cunningham,1987-04-18,S,F,alexis.cunningham@gmail.com,86148,2,Partial College,Manual,Y,Google Pay
C00701,Mrs.,Trinity,Moreno,1986-04-21,M,F,trinity.moreno@gmail.com,52522,2,High School,Professional,Y,Apple Pay
C00702,Mrs.,Chloe,Espinoza,1962-03-20,M,F,chloe.espinoza@yahoo.com,83116,4,Graduate Degree,Clerical,Y,PayPal
C00703,Mr.,Adam,fisher,1969-03-26,S,M,adam.fisher@hotmail.com,107012,0,Bachelors,Skilled Manual,Y,Credit Card
C00704,Ms.,Faith,Lewis,1984-03-20,M,F,faith.lewis@gmail.com,64273,3,Graduate Degree,Clerical,Y,Credit Card
C00705,Mr.,Oliver,Newman,1978-03-05,S,M,oliver.newman@outlook.com,143336,2,Bachelors,Clerical,N,PayPal
C00706,Mrs.,Connie,Cole,1988-08-25,M,F,connie.cole@gmail.com,57488,1,Partial High School,Clerical,Y,PayPal
C00707,Ms.,Aurora,Nunez,1998-11-26,M,F,aurora.nunez@outlook.com,82875,0,Bachelors,Management,Y,Credit Card
C00708,Mr.,Juan,MARTINEZ,1973-04-14,S,M,juan.martinez@outlook.com,25354,1,Graduate Degree,Skilled Manual,Y,Apple Pay
C00709,Mr.,Preston,Bell,1995-12-06,S,M,preston.bell@aol.com,73307,0,Partial College,Clerical,N,PayPal
C00710,Mr.,Timothy,Mason,1977-10-20,S,M,timothy.mason@gmail.com,76529,0,Graduate Degree,Professional,N,PayPal
C00711,Mrs.,Judy,Jacobs,1993-09-20,M,F,judy.jacobs@hotmail.com,115012,3,Bachelors,Professional,Y,Credit Card
C00712,Mr.,Hayden,Tucker,1981-03-09,S,M,hayden.tucker@gmail.com,54592,2,Bachelors,Skilled Manual,Y,PayPal
C00713,Mr.,Ryker,Stevens,1961-06-11,M,M,ryker.stevens@gmail.com,41759,3,Bachelors,Skilled Manual,Y,Credit Card
C00714,Ms.,Christina,Boyd,2000-10-08,M,F,christina.boyd@hotmail.com,42932,2,Partial College,Professional,N,PayPal
C00715,Mr.,Jacob,Foster,1994-03-10,M,M,jacob.foster@hotmail.com,141934,1,High School,Skilled Manual,Y,Apple Pay
C00716,Mrs.,Phyllis,Patterson,1955-09-09,M,F,phyllis.patterson@live.com,87083,0,High School,Skilled Manual,Y,Apple Pay
C00717,Mr.,Gary,Powell,1960-09-03,S,M,gary.powell@gmail.com,84894,0,High School,Skilled Manual,N,Credit Card
C00718,Mrs.,Stephanie,Larson,1971-04-10,M,F,stephanie.larson@icloud.com,59739,2,Bachelors,Professional,N,Credit Card
C00719,Mr.,Liam,Harvey,1985-04-27,M,M,liam.harvey@gmail.com,78299,2,Graduate Degree,Management,N,Credit Card
C00720,Mr.,Billy,Burns,1972-03-14,S,M,billy.burns@gmail.com,142885,0,High School,Professional,Y,Credit Card
C00721,Mr.,Raymond,Green,1957-11-26,M,M,raymond.green@gmail.com,67795,3,Graduate Degree,Management,N,Credit Card
C00722,Ms.,Katherine,Barnes,1960-08-11,M,F,katherine.barnes@yahoo.com,60447,1,Partial High School,Clerical,Y,Credit Card
C00723,Mrs.,Anita,Tran,1957-08-23,M,F,anita.tran@gmail.com,259582,3,Graduate Degree,Clerical,N,PayPal
C00724,Mr.,Felix,Pena,1974-02-13,S,M,felix.pena@gmail.com,27504,0,Partial College,Management,N,PayPal
C00725,Mr.,Terry,Payne,1973-02-03,S,M,terry.payne@gmail.com,118915,1,Partial College,Clerical,Y,PayPal
C00726,Ms.,Brandy,Gilbert,1989-07-17,S,F,brandy.gilbert@gmail.com,44968,1,High School,Skilled Manual,N,Credit Card
C00727,Mrs.,Sheryl,Martin,1955-12-20,M,F,sheryl.martin@gmail.com,289300,2,Partial College,Management,N,Credit Card
C00728,Ms.,Leilani,Brown,1990-05-07,M,F,leilani.brown@gmail.com,84505,4,High School,Skilled Manual,Y,Credit Card
C00729,Ms.,Helen,Black,1971-07-21,M,F,helen.black@yahoo.com,51228,0,Bachelors,Manual,Y,Credit Card
C00730,Mr.,Ezra,Hamilton,1971-12-16,S,M,ezra.hamilton@gmail.com,90959,1,Graduate Degree,Professional,N,Apple Pay
C00731,Ms.,Grace,Rios,1985-04-08,M,F,grace.rios@gmail.com,29773,4,Partial College,Professional,Y,PayPal
C00732,Mrs.,Nina,Griffin,1980-10-23,M,F,nina.griffin@gmail.com,292861,3,Partial High School,Skilled Manual,N,Credit Card
C00733,Dr.,Linda,Simmons,1977-03-17,M,F,linda.simmons@live.com,123371,3,Bachelors,Management,N,Apple Pay
C00734,Mr.,Theo,James,1984-11-15,M,M,theo.james@gmail.com,71037,3,Partial College,Management,N,Credit Card
C00735,Mrs.,Shirley,Nguyen,1987-11-16,M,F,shirley.nguyen@aol.com,48703,0,High School,Professional,Y,Credit Card
C00736,Ms.,Bethany,Berry,2000-10-18,S,F,bethany.berry@gmail.com,240497,2,Partial College,Manual,Y,Apple Pay
C00737,Ms.,Sofia,Jones,1971-07-01,M,F,sofia.jones@gmail.com,90675,2,Partial College,Management,N,PayPal
C00738,Dr.,Meredith,Murphy,1962-01-02,M,F,meredith.murphy@gmail.com,37189,4,Bachelors,Professional,N,Credit Card
C00739,Dr.,Jeffrey,Parker,1966-01-05,S,M,jeffrey.parker@gmail.com,50025,1,Graduate Degree,Clerical,Y,Credit Card
C00740,Dr.,Dominic,McCoy,1956-10-08,M,M,dominic.mccoy@gmail.com,50631,0,Graduate Degree,Clerical,Y,PayPal
C00741,Mr.,Cameron,Medina,1960-04-19,S,M,cameron.medina@gmail.com,56732,1,Bachelors,Professional,Y,Credit Card
C00742,Ms.,Nicole,Davis,1992-12-20,M,F,nicole.davis@outlook.com,30722,2,Partial College,Manual,Y,Credit Card
C00743,Mrs.,Gail,McDonald,1991-08-02,M,F,gail.mcdonald@gmail.com,109607,0,High School,Clerical,Y,Credit Card
C00744,Ms.,Jasmine,Washington,1978-12-22,S,F,jasmine.washington@yahoo.com,95904,2,High School,Clerical,Y,Credit Card
C00745,Ms.,Brooklyn,Cox,1975-09-23,M,F,brooklyn.cox@aol.com,108666,0,Partial College,Skilled Manual,Y,Credit Card
C00746,Dr.,Griffin,Daniels,1996-02-23,S,M,griffin.daniels@outlook.com,66975,2,Partial High School,Professional,N,PayPal
C00747,Mrs.,Dawn,Freeman,1976-05-24,M,F,dawn.freeman@gmail.com,71427,3,Bachelors,Skilled Manual,Y,Google Pay
C00748,Ms.,Ashley,Burke,1997-10-19,M,F,ashley.burke@live.com,52929,2,Bachelors,Skilled Manual,N,Credit Card
C00749,Mrs.,Isabelle,Gray,1998-12-25,M,F,isabelle.gray@outlook.com,122061,1,Partial College,Management,Y,PayPal
C00750,Mrs.,Bella,Owens,1960-05-19,M,F,bella.owens@yahoo.com,132629,1,Graduate Degree,Skilled Manual,N,PayPal
C00751,Mr.,Jackson,Hale,1978-12-08,M,M,jackson.hale@live.com,90769,4,Bachelors,Clerical,Y,Credit Card
C00752,Ms.,Morgan,Peters,1975-06-23,S,F,morgan.peters@gmail.com,206686,1,Bachelors,Professional,Y,Credit Card
C00753,Dr.,Hudson,Hanson,1997-03-10,S,M,hudson.hanson@gmail.com,45767,0,Graduate Degree,Skilled Manual,N,Credit Card
C00754,Ms.,Ellie,Bennett,1968-08-28,M,F,ellie.bennett@gmail.com,52494,2,Partial College,Professional,Y,Credit Card
C00755,Ms.,Virginia,Hernandez,1978-04-07,S,F,virginia.hernandez@gmail.com,74449,2,High School,Clerical,N,Credit Card
C00756,Mr.,Jack,Howell,1999-10-16,M,M,jack.howell@gmail.com,26225,2,Bachelors,Professional,Y,Apple Pay
C00757,Mrs.,April,Arnold,1968-04-28,M,F,april.arnold@gmail.com,110894,0,Partial College,Management,Y,Credit Card
C00758,Ms.,Kylie,Diaz,1965-07-23,M,F,kylie.diaz@gmail.com,234307,0,Partial College,Professional,N,PayPal
C00759,Mr.,WESLEY,Dean,1959-03-13,M,M,wesley.dean@yahoo.com,50479,0,Bachelors,Manual,Y,Apple Pay
C00760,Ms.,Cindy,Maldonado,2000-05-18,M,F,cindy.maldonado@gmail.com,77758,3,Bachelors,Professional,Y,Google Pay
C00761,Mr.,Jude,Walker,1978-07-23,M,M,jude.walker@outlook.com,46654,2,High School,Professional,Y,PayPal
C00762,Dr.,Eric,Turner,2000-09-28,S,M,eric.turner@gmail.com,73977,2,Partial High School,Clerical,Y,Apple Pay
C00763,Mrs.,Alexandra,Dixon,1995-02-04,S,F,alexandra.dixon@icloud.com,69180,0,Bachelors,Manual,N,Apple Pay
C00764,Dr.,Gabriella,Elliott,1975-04-19,S,F,gabriella.elliott@live.com,115507,1,Graduate Degree,Management,Y,Credit Card
C00765,Dr.,Jonah,Jacobs,1960-12-05,M,M,jonah.jacobs@gmail.com,114819,2,Graduate Degree,Clerical,Y,Credit Card
C00766,Ms.,Sandra,Williams,1988-11-03,M,F,sandra.williams@gmail.com,25917,0,High School,Clerical,N,Credit Card
C00767,Mr.,Jaxon,Long,1980-03-19,M,M,jaxon.long@gmail.com,48063,1,Graduate Degree,Management,N,Credit Card
C00768,Mr.,Colton,Aguilar,1998-02-28,S,M,colton.aguilar@gmail.com,42128,2,Partial High School,Professional,Y,Credit Card
C00769,Mrs.,Mildred,Parsons,1956-07-18,M,F,mildred.parsons@gmail.com,63710,1,Bachelors,Clerical,Y,Credit Card
C00770,Mr.,Gabriel,Garcia,1961-03-08,S,M,gabriel.garcia@live.com,142470,1,Bachelors,Management,N,Credit Card
C00771,Ms.,Elaine,Adams,1971-08-05,S,F,elaine.adams@outlook.com,135113,1,Partial College,Professional,Y,Apple Pay
C00772,Mrs.,Olivia,Johnson,1999-03-20,S,F,olivia.johnson@yahoo.com,63007,2,Graduate Degree,Management,Y,Credit Card
C00773,Mrs.,Wanda,Andrews,1997-04-20,M,F,wanda.andrews@gmail.com,46857,1,Bachelors,Management,Y,Credit Card
C00774,Dr.,Jonathan,Greene,1980-10-28,M,M,jonathan.greene@gmail.com,52884,3,Bachelors,Skilled Manual,Y,Google Pay
C00775,Mr.,Cole,Bradley,1990-01-23,M,M,cole.bradley@gmail.com,63842,0,Bachelors,Skilled Manual,Y,Apple Pay
C00776,Mr.,Easton,Baker,1970-04-16,S,M,easton.baker@gmail.com,62107,1,High School,Clerical,N,Credit Card
C00777,Ms.,Natalie,Wallace,1976-10-02,S,F,natalie.wallace@hotmail.com,39764,1,Graduate Degree,Management,Y,Google Pay
C00778,Ms.,Paula,White,1963-11-01,M,,paula.white@gmail.com,137660,2,High School,Skilled Manual,N,PayPal
C00779,Mr.,Wyatt,Perry,1996-09-20,M,M,wyatt.perry@yahoo.com,80255,2,Graduate Degree,Management,Y,Credit Card
C00780,Mrs.,Alice,Stone,1982-12-21,M,F,alice.stone@gmail.com,65644,2,Graduate Degree,Clerical,Y,PayPal
C00781,Mr.,Tyler,Goodwin,1961-07-11,M,M,tyler.goodwin@gmail.com,76058,1,High School,Management,N,Google Pay
C00782,Ms.,Melanie,Wood,1966-03-12,M,F,melanie.wood@gmail.com,45010,3,Bachelors,Management,N,Apple Pay
C00783,Mr.,Evan,George,1991-10-23,S,M,evan.george@gmail.com,66321,2,Graduate Degree,Skilled Manual,Y,Google Pay
C00784,Ms.,Judith,DOMINGUEZ,1984-02-13,M,F,judith.dominguez@gmail.com,58920,2,Bachelors,Professional,Y,Apple Pay
C00785,Mrs.,Peggy,Estrada,1968-08-04,S,F,peggy.estrada@yahoo.com,37749,2,Bachelors,Manual,Y,Credit Card
C00786,Mr.,Eugene,Ray,1991-03-13,S,M,eugene.ray@gmail.com,52311,0,Partial College,Skilled Manual,N,Credit Card
C00787,Mrs.,Julia,Crawford,1984-11-07,M,F,julia.crawford@gmail.com,73149,4,Bachelors,Clerical,N,Credit Card
C00788,Ms.,Valerie,Castro,1984-06-04,S,F,valerie.castro@gmail.com,30683,0,Graduate Degree,Skilled Manual,Y,PayPal
C00789,Mrs.,Gianna,Wright,1984-07-27,M,F,gianna.wright@gmail.com,85127,3,Partial College,Management,Y,Credit Card
C00790,Ms.,Laurie,Soto,1959-10-05,M,F,laurie.soto@live.com,41708,4,High School,Professional,N,Google Pay
C00791,Ms.,Sharon,Romero,1981-06-19,M,F,sharon.romero@gmail.com,53054,2,Partial High School,Professional,Y,Credit Card
C00792,Mr.,Roy,Sutton,1990-12-11,S,M,roy.sutton@aol.com,126961,2,High School,Professional,N,Apple Pay
C00793,Ms.,Lillian,Salazar,1984-12-26,M,F,lillian.salazar@hotmail.com,74480,0,Graduate Degree,Professional,N,Google Pay
C00794,Mr.,Jason,Grant,1995-07-08,M,M,jason.grant@yahoo.com,50984,0,Graduate Degree,Professional,Y,Google Pay
C00795,Mr.,Robert,Bryant,1958-05-19,M,M,robert.bryant@yahoo.com,82941,2,Graduate Degree,Management,N,Google Pay
C00796,Dr.,Alyssa,Hall,1963-04-04,S,F,alyssa.hall@icloud.com,95235,0,Partial College,Manual,N,Credit Card
C00797,Ms.,Josephine,Valdez,1960-04-28,S,F,josephine.valdez@gmail.com,55260,1,Partial High School,Clerical,Y,Credit Card
C00798,Dr.,Tammy,Vazquez,1984-03-13,M,F,tammy.vazquez@gmail.com,57317,0,Bachelors,Management,Y,Credit Card
C00799,Ms.,Emma,Spencer,1982-05-16,M,F,emma.spencer@gmail.com,64596,0,Bachelors,Professional,Y,Credit Card
C00800,Ms.,Lillian,Nelson,1965-05-25,M,F,lillian.nelson@outlook.com,62495,0,Partial High School,Professional,Y,Credit Card
C00801,Ms.,Doreen,Pierce,1958-06-03,M,F,doreen.pierce@yahoo.com,104199,0,Graduate Degree,Management,N,Credit Card
C00802,Ms.,FrAnCeS,Lynch,1997-09-28,S,F,frances.lynch@yahoo.com,44779,2,Partial College,Professional,Y,Apple Pay
C00803,Ms.,Violet,Silva,1991-09-17,M,F,violet.silva@outlook.com,77220,4,Bachelors,Professional,Y,Credit Card
C00804,Mr.,Alan,Carr,1985-03-12,M,M,alan.carr@outlook.com,69858,0,Graduate Degree,Management,N,Credit Card
C00805,Dr.,Addison,Alexander,1993-12-17,S,F,addison.alexander@outlook.com,85534,0,Partial High School,Skilled Manual,Y,PayPal
C00806,Mr.,Landon,Kim,1964-06-19,S,M,landon.kim@gmail.com,213312,0,Graduate Degree,Professional,Y,Credit Card
C00807,Mr.,Larry,Rose,1982-01-10,M,M,larry.rose@gmail.com,117692,2,Bachelors,Management,Y,Credit Card
C00808,Mrs.,Ruby,Collins,1990-10-02,M,F,ruby.collins@aol.com,72863,2,Partial College,Professional,Y,PayPal
C00809,Mrs.,eVERLY,Chapman,1966-02-20,M,F,everly.chapman@aol.com,93517,2,Graduate Degree,Management,Y,Credit Card
C00810,Ms.,Regina,Taylor,1981-10-17,M,F,regina.taylor@outlook.com,127372,2,Partial High School,Manual,Y,Credit Card
C00811,Mr.,Steven,Hill,1979-01-14,M,M,steven.hill@icloud.com,55372,2,Bachelors,Management,Y,Credit Card
C00812,Mr.,James,Oliver,1967-10-14,S,M,james.oliver@gmail.com,34455,2,Bachelors,Management,Y,Apple Pay
C00813,Mrs.,Delilah,Gomez,1992-12-07,S,F,delilah.gomez@gmail.com,140656,1,Bachelors,Skilled Manual,N,Credit Card
C00814,Mr.,Victor,Evans,1997-05-16,S,M,victor.evans@gmail.com,261247,0,High School,Manual,Y,Apple Pay
C00815,Mrs.,Bailey,Simpson,1995-08-13,M,F,bailey.simpson@gmail.com,84214,3,Graduate Degree,Professional,Y,PayPal
C00816,Mr.,DONALD,Alvarado,1972-09-25,M,M,donald.alvarado@hotmail.com,56662,4,Bachelors,Professional,N,Credit Card
C00817,Ms.,Gladys,Ferguson,1965-10-10,S,F,gladys.ferguson@gmail.com,92320,1,Partial College,Management,Y,PayPal
C00818,Mr.,Zachary,Le,1995-05-07,M,M,zachary.le@hotmail.com,84545,2,Graduate Degree,Management,Y,Credit Card
C00819,Mrs.,Rhonda,Armstrong,1980-02-26,S,F,rhonda.armstrong@gmail.com,60156,1,High School,Management,Y,Credit Card
C00820,Dr.,Annie,Meyer,1981-06-16,M,F,annie.meyer@outlook.com,77792,1,Graduate Degree,Professional,Y,Apple Pay
C00821,Ms.,Donna,Price,1995-09-15,M,F,donna.price@outlook.com,91191,2,High School,Clerical,Y,Apple Pay
C00822,Mrs., Amber ,Palmer,1956-07-17,M,F,amber.palmer@gmail.com,88573,2,Bachelors,Skilled Manual,N,Credit Card
C00823,Ms.,Audrey,Peterson,1968-08-01,M,F,audrey.peterson@gmail.com,57110,0,Bachelors,Skilled Manual,Y,PayPal
C00824,Mr.,Calvin,Bishop,1978-01-05,M,M,calvin.bishop@outlook.com,294096,1,Graduate Degree,Professional,N,Credit Card
C00825,Mrs.,Marie,Rivera,1979-01-05,M,F,marie.rivera@gmail.com,89632,3,Partial High School,Management,N,Credit Card
C00826,Ms.,Arianna,Hansen,1982-08-22,M,F,arianna.hansen@outlook.com,86349,0,Partial College,Clerical,Y,Credit Card
C00827,Mr.,Nicholas,Kelly,1970-09-15,S,M,nicholas.kelly@gmail.com,128314,0,Partial High School,Clerical,Y,PayPal
C00828,Mr.,Jesse ,Kelley,1969-04-17,S,M,jesse.kelley@gmail.com,297312,1,Bachelors,Clerical,Y,Credit Card
C00829,Mr.,Sebastian,Wagner,1978-05-02,M,M,sebastian.wagner@yahoo.com,246099,0,High School,Skilled Manual,N,Credit Card
C00830,Dr.,ROY,Garza,1984-07-01,M,M,roy.garza@gmail.com,28909,3,Graduate Degree,Skilled Manual,N,Credit Card
C00831,Ms.,Hailey,Castillo,1988-02-07,S,F,hailey.castillo@yahoo.com,37314,0,High School,Clerical,N,Credit Card
C00832,Mrs.,Tina,Allen,1967-07-01,M,F,tina.allen@hotmail.com,49780,4,Bachelors,Management,Y,Credit Card
C00833,Mr.,Theodore,Reynolds,1994-11-27,M,M,theodore.reynolds@gmail.com,147854,2,Bachelors,Clerical,Y,PayPal
C00834,Ms.,Kristin,Munoz,1995-06-23,M,F,kristin.munoz@gmail.com,148135,1,High School,Manual,N,Credit Card
C00835,Mrs.,Laura,Henry,1967-02-20,S,F,laura.henry@gmail.com,57022,0,High School,Professional,N,Credit Card
C00836,Mr.,Hudson,Mendoza,1984-05-06,M,M,hudson.mendoza@live.com,54929,1,High School,Skilled Manual,Y,PayPal
C00837,Mr.,ChRiStIaN,Li,1974-09-13,S,M,christian.li@outlook.com,108071,2,Graduate Degree,Clerical,Y,Credit Card
C00838,Mr.,Sawyer,Patel,1981-05-04,M,M,sawyer.patel@yahoo.com,141118,0,High School,Skilled Manual,Y,Apple Pay
C00839,Mr.,Edward,Dunn,1987-01-04,M,M,edward.dunn@gmail.com,26298,2,Graduate Degree,Skilled Manual,N,Credit Card
C00840,Ms.,Tara,French,1991-03-06,M,F,tara.french@gmail.com,98835,1,High School,Professional,Y,Google Pay
C00841,Mr.,Albert,Reyes,1956-10-06,M,M,albert.reyes@gmail.com,82584,0,Bachelors,Manual,Y,Credit Card
C00842,Mr.,Preston,Ortega,1960-06-09,M,M,preston.ortega@gmail.com,133053,0,High School,Professional,Y,PayPal
C00843,Mr.,  Philip,Ruiz,1999-12-11,M,M,philip.ruiz@outlook.com,60818,4,Bachelors,Skilled Manual,N,Credit Card
C00844,Mr.,Everett,Guerrero,1992-04-18,M,M,everett.guerrero@icloud.com,90228,2,Bachelors,Clerical,Y,Apple Pay
C00845,Mr.,Walter,Walsh,1968-06-27,M,M,walter.walsh@live.com,54354,0,Partial High School,Professional,N,Google Pay
C00846,Ms.,Serenity,Montgomery,1986-03-09,S,F,serenity.montgomery@gmail.com,80690,2,Bachelors,Management,Y,Apple Pay
C00847,Mr.,Calvin,Brooks,1978-10-21,M,M,calvin.brooks@icloud.com,47617,2,High School,Management,Y,PayPal
C00848,Ms.,Harper,Anderson,1955-09-17,M,F,harper.anderson@gmail.com,64532,4,Partial College,Management,N,PayPal
C00849,Mr.,Matthew,Morris,1973-08-22,S,M,matthew.morris@outlook.com,89261,2,High School,Skilled Manual,N,Credit Card
C00850,Ms.,ZoE,Howard,1959-03-27,S,F,zoe.howard@hotmail.com,56681,1,Partial College,Professional,N,Credit Card
C00851,Dr.,Randy,Jensen,1972-10-26,M,M,randy.jensen@yahoo.com,143103,2,Partial College,Manual,Y,Credit Card
C00852,Mr.,Harold,Gutierrez,1969-04-09,M,M,harold.gutierrez@gmail.com,35251,3,Bachelors,Professional,Y,Credit Card
C00853,Mr.,Adam,Vargas,1995-04-20,S,M,adam.vargas@gmail.com,37808,1,Partial High School,Skilled Manual,Y,Credit Card
C00854,Mr.,Aaron,Hernandes,1992-03-22,S,M,aaron.hernandes@gmail.com,67635,2,Partial College,Manual,Y,PayPal
C00855,Mr.,Emmett,Flores,1982-02-11,M,M,emmett.flores@hotmail.com,120778,4,High School,Clerical,Y,Apple Pay
C00856,Mr.,Frank,Campbell,2000-04-09,M,M,frank.campbell@gmail.com,43795,1,Partial College,Professional,Y,Credit Card
C00857,Ms.,Janet ,Chavez,1987-10-13,M,F,janet.chavez@hotmail.com,47035,1,Bachelors,Professional,N,Credit Card
C00858,Mr.,Bennett,Woods,1960-08-17,S,M,bennett.woods@yahoo.com,64763,1,Bachelors,Skilled Manual,N,Credit Card
C00859,Mr.,Griffin,HuGhEs,1989-10-02,S,M,griffin.hughes@live.com,60829,0,Graduate Degree,Clerical,N,Credit Card
C00860,Mr.,Logan,Franklin,1992-12-25,M,M,logan.franklin@gmail.com,83469,4,Partial College,Management,Y,Apple Pay
C00861,Mr.,Ryder,Smith,1977-12-20,S,M,ryder.smith@gmail.com,74257,2,High School,Management,N,Apple Pay
C00862,Mr.,Willie,Cruz,1983-06-09,M,M,willie.cruz@gmail.com,98577,1,Partial College,Skilled Manual,Y,Credit Card
C00863,Ms.,Lisa,Ross,1998-11-09,M,F,lisa.ross@hotmail.com,64994,2,Bachelors,Skilled Manual,Y,PayPal
C00864,Mr.,juan,Weaver,1971-11-17,M,M,juan.weaver@live.com,297836,2,Bachelors,Management,N,Apple Pay
C00865,Mr.,Gregory,Jackson,1969-05-24,S,M,gregory.jackson@yahoo.com,32097,1,Bachelors,Professional,Y,Google Pay
C00866,Mr.,Donald,Ford,1977-02-06,M,M,donald.ford@outlook.com,128468,2,Bachelors,Skilled Manual,N,Credit Card
C00867,Mrs.,mARIA,Lawson,1968-02-13,M,F,maria.lawson@outlook.com,61691,4,High School,Skilled Manual,N,PayPal
C00868,Ms.,  Paisley,Morales,1962-12-19,M,F,paisley.morales@yahoo.com,75375,2,Partial College,Clerical,N,PayPal
C00869,Mr.,Ryan,Morrison,1974-10-15,M,M,ryan.morrison@gmail.com,83484,4,Bachelors,Professional,N,PayPal
C00870,Mrs.,Isabella ,Graham,2000-05-18,S,F,isabella.graham@icloud.com,132459,2,Partial College,Management,Y,Apple Pay
C00871,MRS,Thelma,Kennedy,1997-02-22,S,F,thelma.kennedy@gmail.com,103448,2,Graduate Degree,Skilled Manual,Y,Google Pay
C00872,Ms.,Tiffany,Santiago,1973-06-16,S,F,tiffany.santiago@icloud.com,239806,0,Bachelors,Professional,N,Apple Pay
C00873,Mr.,Jaxon,Nichols,1974-07-03,M,M,jaxon.nichols@icloud.com,84672,2,Graduate Degree,Skilled Manual,N,PayPal
C00874,Ms.,Peyton,King,1991-03-10,S,F,peyton.king@icloud.com,86240,1,Partial College,Clerical,Y,Google Pay
C00875,Ms.,Madeline,Franklin,1982-02-19,S,F,madeline.franklin@gmail.com,32935,0,Graduate Degree,Professional,N,Apple Pay
C00876,Mr.,David,Alvarado,1977-05-05,M,M,david.alvarado@yahoo.com,37284,2,Bachelors,Management,N,PayPal
C00877,Mrs.,Irene,Patterson,1991-08-19,M,F,irene.patterson@yahoo.com,47153,3,Bachelors,Management,Y,Credit Card
C00878,Mr.,Joe,Moore,1971-06-03,M,M,joe.moore@outlook.com,102269,1,High School,Skilled Manual,N,Credit Card
C00879,Dr.,Emery,Zimmerman,1997-09-24,S,F,emery.zimmerman@outlook.com,96814,1,Partial College,Professional,N,Credit Card
C00880,Ms.,Stella,Cole,1996-07-03,M,F,stella.cole@gmail.com,78091,0,Graduate Degree,Manual,N,PayPal
C00881,Mrs.,Whitney,Ellis,1966-02-21,S,F,whitney.ellis@gmail.com,105701,2,Partial College,Professional,N,Credit Card
C00882,Mr.,Hayden,Gibson,1995-11-05,M,,hayden.gibson@gmail.com,37830,2,Graduate Degree,Professional,Y,PayPal
C00883,Mrs.,Aria,Howard,1960-07-18,S,F,aria.howard@icloud.com,65784,2,Partial College,Manual,N,Apple Pay
C00884,Mrs.,Quinn,Hudson,1997-10-15,M,F,quinn.hudson@gmail.com,123626,3,Bachelors,Skilled Manual,N,PayPal
C00885,Ms.,Lydia,Montgomery,1990-12-12,M,F,lydia.montgomery@gmail.com,64595,2,Graduate Degree,Professional,Y,Apple Pay
C00886,Ms.,Maya,Johnston,1985-09-05,S,F,maya.johnston@gmail.com,66241,2,High School,Management,Y,Google Pay
C00887,Mr.,Dean,Tucker,1989-07-09,M,M,dean.tucker@yahoo.com,129999,2,Bachelors,Clerical,Y,Credit Card
C00888,Mrs.,Leslie,Fox,1991-02-25,S,F,leslie.fox@gmail.com,43236,1,Partial College,Professional,N,Credit Card
C00889,Mrs.,Emily,Reynolds,1980-08-13,M,F,emily.reynolds@gmail.com,70039,2,Bachelors,Professional,N,Apple Pay
C00890,Mr.,Ian,Reed,1998-04-27,S,M,ian.reed@gmail.com,56190,1,Graduate Degree,Professional,N,Apple Pay
C00891,Mr.,Alexander,Long,1974-07-06,S,M,alexander.long@aol.com,67762,2,Bachelors,Clerical,Y,Credit Card
C00892,Mr.,Nolan,Hayes,1963-08-26,S,M,nolan.hayes@icloud.com,134899,0,Graduate Degree,Skilled Manual,N,Credit Card
C00893,Ms.,Audrey,Harris,1977-05-07,M,F,audrey.harris@yahoo.com,144159,1,Bachelors,Management,N,Credit Card
C00894,Mr.,Micah,Kelley,1958-05-07,M,M,micah.kelley@gmail.com,97061,2,Bachelors,Professional,Y,Credit Card
C00895,Mr.,Johnny,Crawford,1978-05-21,S,M,johnny.crawford@outlook.com,235126,2,Partial High School,Professional,Y,Apple Pay
C00896,Dr.,Layla,Lawrence,1985-08-04,M,F,layla.lawrence@gmail.com,39420,3,High School,Clerical,Y,PayPal
C00897,Ms.,Eleanor,Daniels,1993-03-14,S,F,eleanor.daniels@outlook.com,62850,2,Bachelors,Manual,Y,PayPal
C00898,Dr.,Bentley,Lawson,1981-02-20,M,M,bentley.lawson@yahoo.com,38051,0,High School,Clerical,N,Google Pay
C00899,Ms.,Jean,Vargas,1959-03-24,M,F,jean.vargas@gmail.com,93286,3,Partial High School,Professional,N,Google Pay
C00900,Ms.,Florence,Olson,1978-10-13,S,F,florence.olson@gmail.com,145305,2,Graduate Degree,Professional,Y,Credit Card
C00901,Mr.,Lawrence,Ramirez,1962-04-14,M,M,lawrence.ramirez@gmail.com,76288,0,Partial College,Management,Y,Apple Pay
C00902,Ms.,Diane,Parsons,1987-10-27,M,F,diane.parsons@outlook.com,67630,3,Partial College,Skilled Manual,Y,PayPal
C00903,Mr.,Anthony,Carter,1971-05-07,M,M,anthony.carter@gmail.com,55606,0,Graduate Degree,Manual,Y,Credit Card
C00904,Mr.,Isaac,Singh,1958-08-22,M,M,isaac.singh@hotmail.com,89786,3,Bachelors,Clerical,Y,PayPal
C00905,Mrs.,Lucy,Hill,1990-09-27,S,F,lucy.hill@gmail.com,50441,0,Bachelors,Professional,Y,Credit Card
C00906,Ms.,Vanessa,Armstrong,1986-01-06,M,F,vanessa.armstrong@gmail.com,37060,2,Partial College,Management,N,Credit Card
